Model,Training Error,Test Error
DecisionTreeClassifier(),0.14791296981362845,0.147206696909697
MLPClassifier,0.14826135121858297,0.14680568435299135
AdaBoostClassifier(DecisionTreeClassifier()),0.14826135121858297,0.14680568435299135
SVC(kernel='rbf'),0.8498764373865881,0.8516153287049801
SVC(kernel='poly'),0.1494493568728884,0.1479836587383142
KNeighborsClassifier(n_neighbors=1),0.11396959307046828,0.2397553823404095
KNeighborsClassifier(n_neighbors=5),0.14390783682717279,0.16684127421739892
KNeighborsClassifier(n_neighbors=9),0.14690040803232174,0.152891049901
