Model,Training Time,Classification Time
DecisionTreeClassifier(),1.5627710000000001,0.03203329999999993
MLPClassifier,17.0886628,0.01854870000000375
AdaBoostClassifier(DecisionTreeClassifier()),26.689322100000027,1.5031738999999789
SVC(kernel='rbf'),88.22979080000005,17.160647599999947
SVC(kernel='poly'),23.200160000000324,2.5715909000000465
KNeighborsClassifier(n_neighbors=1),4.840233900000385,2.658896000000823
KNeighborsClassifier(n_neighbors=5),4.762002299999949,2.995278899999903
KNeighborsClassifier(n_neighbors=9),4.820692299999791,3.318486699999994
