Model,Training Error,Test Error
DecisionTreeClassifier(),0.0,0.2508227550540668
MLPClassifier,0.15086688216279753,0.15373765867418898
AdaBoostClassifier(DecisionTreeClassifier()),0.15092565383485157,0.1558533145275035
SVC(kernel='rbf'),0.15057302380252713,0.15362012223789379
SVC(kernel='poly'),0.15057302380252713,0.15362012223789379
KNeighborsClassifier(n_neighbors=1),0.16717602115780195,0.16878232251998115
KNeighborsClassifier(n_neighbors=5),0.15057302380252713,0.15350258580159848
KNeighborsClassifier(n_neighbors=9),0.15057302380252713,0.15350258580159848
